web-scraper-order,web-scraper-start-url,movies,
"1525943565-17728","https://bechdeltest.com/?list=all","Beyond the Lights","null"
"1525943565-18307","https://bechdeltest.com/?list=all","Nashorn im Galopp","null"
"1525943565-24135","https://bechdeltest.com/?list=all","The Life and Death of Colonel Blimp","null"
"1525943565-20633","https://bechdeltest.com/?list=all","Grey's Anatomy","null"
"1525943565-23117","https://bechdeltest.com/?list=all","Angels' Brigade","null"
"1525943565-20622","https://bechdeltest.com/?list=all","Fingersmith","null"
"1525943565-20482","https://bechdeltest.com/?list=all","Offside","null"
"1525943565-23801","https://bechdeltest.com/?list=all","It! The Terror from Beyond Space","null"
"1525943565-17433","https://bechdeltest.com/?list=all","Cinderella","null"
"1525943565-21595","https://bechdeltest.com/?list=all","Bowfinger","null"
"1525943565-19556","https://bechdeltest.com/?list=all","Cloudy with a Chance of Meatballs","null"
"1525943565-19785","https://bechdeltest.com/?list=all","Tsar","null"
"1525943565-21772","https://bechdeltest.com/?list=all","The Proposition","null"
"1525943565-19938","https://bechdeltest.com/?list=all","The Incredible Hulk","null"
"1525943565-23594","https://bechdeltest.com/?list=all","Kapurush","null"
"1525943565-18191","https://bechdeltest.com/?list=all","Gekijouban Steins;Gate: Fuka ryouiki no dejavu","null"
"1525943565-20972","https://bechdeltest.com/?list=all","Cold Mountain","null"
"1525943565-16956","https://bechdeltest.com/?list=all","Death Race 2050","null"
"1525943565-23256","https://bechdeltest.com/?list=all","Love and Death","null"
"1525943565-22380","https://bechdeltest.com/?list=all","Malcolm X","null"
"1525943565-23489","https://bechdeltest.com/?list=all","If....","null"
"1525943565-22700","https://bechdeltest.com/?list=all","El bosque animado","null"
"1525943565-24394","https://bechdeltest.com/?list=all","All Quiet on the Western Front","null"
"1525943565-22111","https://bechdeltest.com/?list=all","Mortal Kombat","null"
"1525943565-17344","https://bechdeltest.com/?list=all","Storks","null"
"1525943565-17533","https://bechdeltest.com/?list=all","The Lazarus Effect","null"
"1525943565-23858","https://bechdeltest.com/?list=all","Invasion of the Body Snatchers","null"
"1525943565-23986","https://bechdeltest.com/?list=all","Show Boat","null"
"1525943565-23036","https://bechdeltest.com/?list=all","Chariots of Fire","null"
"1525943565-19078","https://bechdeltest.com/?list=all","The Smurfs","null"
"1525943565-18558","https://bechdeltest.com/?list=all","For a Good Time, Call...","null"
"1525943565-22944","https://bechdeltest.com/?list=all","Cujo","null"
"1525943565-19614","https://bechdeltest.com/?list=all","Gamer","null"
"1525943565-19371","https://bechdeltest.com/?list=all","Poetry","null"
"1525943565-16921","https://bechdeltest.com/?list=all","Annabelle: Creation","null"
"1525943565-20227","https://bechdeltest.com/?list=all","Mr. Magorium's Wonder Emporium","null"
"1525943565-17847","https://bechdeltest.com/?list=all","Into the Storm","null"
"1525943565-19022","https://bechdeltest.com/?list=all","No Strings Attached","null"
"1525943565-19325","https://bechdeltest.com/?list=all","Les emotifs anonymes","null"
"1525943565-23785","https://bechdeltest.com/?list=all","Suddenly, Last Summer","null"
"1525943565-23639","https://bechdeltest.com/?list=all","Viva Las Vegas","null"
"1525943565-21116","https://bechdeltest.com/?list=all","Below","null"
"1525943565-17692","https://bechdeltest.com/?list=all","A Most Wanted Man","null"
"1525943565-17050","https://bechdeltest.com/?list=all","Pirates of the Caribbean: Dead Men Tell No Tales","null"
"1525943565-19847","https://bechdeltest.com/?list=all","Blindness","null"
"1525943565-20042","https://bechdeltest.com/?list=all","Tôkyô sonata (Tokyo Sonata)","null"
"1525943565-23192","https://bechdeltest.com/?list=all","The Goodbye Girl","null"
"1525943565-22319","https://bechdeltest.com/?list=all","Sister Act 2: Back in the Habit","null"
"1525943565-23245","https://bechdeltest.com/?list=all","Dersu Uzala","null"
"1525943565-23077","https://bechdeltest.com/?list=all","Airplane!","null"
"1525943565-18099","https://bechdeltest.com/?list=all","The Best Offer","null"
