web-scraper-order,web-scraper-start-url,job
"1527011206-79,""http://www.lingolex.com/joben.htm"",""salesman"""
"1527011206-61,""http://www.lingolex.com/joben.htm"",""politician"""
"1527011206-28,""http://www.lingolex.com/joben.htm"",""shop assistant"""
"1527011206-68,""http://www.lingolex.com/joben.htm"",""watchmaker"""
"1527011206-59,""http://www.lingolex.com/joben.htm"",""pilot"""
"1527011206-60,""http://www.lingolex.com/joben.htm"",""painter"""
"1527011206-27,""http://www.lingolex.com/joben.htm"",""dentist"""
"1527011206-49,""http://www.lingolex.com/joben.htm"",""monk"""
"1527011206-41,""http://www.lingolex.com/joben.htm"",""judge"""
"1527011206-38,""http://www.lingolex.com/joben.htm"",""engineer"""
"1527011206-71,""http://www.lingolex.com/joben.htm"",""tailor"""
"1527011206-9,""http://www.lingolex.com/joben.htm"",""consultant"""
"1527011206-22,""http://www.lingolex.com/joben.htm"",""cook"""
"1527011206-65,""http://www.lingolex.com/joben.htm"",""psychologist"""
"1527011206-63,""http://www.lingolex.com/joben.htm"",""caretaker"""
"1527011206-34,""http://www.lingolex.com/joben.htm"",""student"""
"1527011206-5,""http://www.lingolex.com/joben.htm"",""customs officer"""
"1527011206-56,""http://www.lingolex.com/joben.htm"",""hairdresser"""
"1527011206-55,""http://www.lingolex.com/joben.htm"",""shepherd"""
"1527011206-53,""http://www.lingolex.com/joben.htm"",""office worker"""
"1527011206-29,""http://www.lingolex.com/joben.htm"",""electrician"""
"1527011206-44,""http://www.lingolex.com/joben.htm"",""doctor"""
"1527011206-80,""http://www.lingolex.com/joben.htm"",""vet"""
"1527011206-43,""http://www.lingolex.com/joben.htm"",""sailor"""
"1527011206-17,""http://www.lingolex.com/joben.htm"",""foreman"""
"1527011206-3,""http://www.lingolex.com/joben.htm"",""lawyer"""
"1527011206-36,""http://www.lingolex.com/joben.htm"",""plumber"""
"1527011206-12,""http://www.lingolex.com/joben.htm"",""dustman"""
"1527011206-11,""http://www.lingolex.com/joben.htm"",""air hostess"""
"1527011206-46,""http://www.lingolex.com/joben.htm"",""miner"""
"1527011206-51,""http://www.lingolex.com/joben.htm"",""nanny"""
"1527011206-50,""http://www.lingolex.com/joben.htm"",""nun"""
"1527011206-15,""http://www.lingolex.com/joben.htm"",""lorry driver"""
"1527011206-67,""http://www.lingolex.com/joben.htm"",""receptionist"""
"1527011206-69,""http://www.lingolex.com/joben.htm"",""reporter"""
"1527011206-52,""http://www.lingolex.com/joben.htm"",""labourer"""
"1527011206-64,""http://www.lingolex.com/joben.htm"",""teacher"""
"1527011206-16,""http://www.lingolex.com/joben.htm"",""singer"""
"1527011206-24,""http://www.lingolex.com/joben.htm"",""accountant"""
"1527011206-81,""http://www.lingolex.com/joben.htm"",""shoemaker"""
"1527011206-13,""http://www.lingolex.com/joben.htm"",""fireman"""
"1527011206-57,""http://www.lingolex.com/joben.htm"",""journalist"""
"1527011206-76,""http://www.lingolex.com/joben.htm"",""technician"""
"1527011206-25,""http://www.lingolex.com/joben.htm"",""servant"""
"1527011206-62,""http://www.lingolex.com/joben.htm"",""policeman"""
"1527011206-7,""http://www.lingolex.com/joben.htm"",""builder"""
"1527011206-54,""http://www.lingolex.com/joben.htm"",""baker"""
"1527011206-47,""http://www.lingolex.com/joben.htm"",""model"""
"1527011206-35,""http://www.lingolex.com/joben.htm"",""chemist"""
"1527011206-39,""http://www.lingolex.com/joben.htm"",""gardener"""
"1527011206-10,""http://www.lingolex.com/joben.htm"",""astronaut"""
"1527011206-37,""http://www.lingolex.com/joben.htm"",""farmer"""
"1527011206-77,""http://www.lingolex.com/joben.htm"",""bullfighter"""
"1527011206-20,""http://www.lingolex.com/joben.htm"",""scientist"""
"1527011206-18,""http://www.lingolex.com/joben.htm"",""butcher"""
"1527011206-33,""http://www.lingolex.com/joben.htm"",""writer"""
"1527011206-45,""http://www.lingolex.com/joben.htm"",""mechanic"""
"1527011206-70,""http://www.lingolex.com/joben.htm"",""priest"""
"1527011206-74,""http://www.lingolex.com/joben.htm"",""shorthand typist"""
"1527011206-21,""http://www.lingolex.com/joben.htm"",""surgeon"""
"1527011206-48,""http://www.lingolex.com/joben.htm"",""instructor"""
"1527011206-23,""http://www.lingolex.com/joben.htm"",""driver"""
"1527011206-6,""http://www.lingolex.com/joben.htm"",""farmer"""
"1527011206-58,""http://www.lingolex.com/joben.htm"",""fisherman"""
"1527011206-31,""http://www.lingolex.com/joben.htm"",""bank clerk"""
"1527011206-72,""http://www.lingolex.com/joben.htm"",""secretary"""
"1527011206-19,""http://www.lingolex.com/joben.htm"",""postman"""
"1527011206-66,""http://www.lingolex.com/joben.htm"",""psychiatrist"""
"1527011206-4,""http://www.lingolex.com/joben.htm"",""actor/actress"""
"1527011206-42,""http://www.lingolex.com/joben.htm"",""bookseller"""
"1527011206-75,""http://www.lingolex.com/joben.htm"",""taxi driver"""
"1527011206-32,""http://www.lingolex.com/joben.htm"",""nurse"""
"1527011206-14,""http://www.lingolex.com/joben.htm"",""waiter/waitress"""
"1527011206-73,""http://www.lingolex.com/joben.htm"",""soldier"""
"1527011206-26,""http://www.lingolex.com/joben.htm"",""priest"""
"1527011206-78,""http://www.lingolex.com/joben.htm"",""translator"""
"1527011206-8,""http://www.lingolex.com/joben.htm"",""architect"""
"1527011206-30,""http://www.lingolex.com/joben.htm"",""employee"""
"1527011206-40,""http://www.lingolex.com/joben.htm"",""jeweller"""
